

Alimentador 0 
DE	PARA	Ia 	 Ib 	Ic 	 Ampacidade 	Carregamento 	Pa	Pb	Pc	Qa	Qb	Qc 
87	88	 20.8524319 	 41.7471953  	  30.1045990   	   270.0000000  	    15.4619242  	 0.6501849  	 1.2957201  	 1.0111828  	 0.2790151  	 0.5426658  	 0.2729399  
88	89	 20.0230134 	 40.0866746  	  27.8628181   	   270.0000000  	    14.8469165  	 0.6242958  	 1.2440858  	 0.9332119  	 0.2679160  	 0.5209731  	 0.2622343  
88	138	 0.8294185 	 1.6605207  	  2.2616889   	   300.0000000  	    0.7538963  	 0.0258604  	 0.0515341  	 0.0779595  	 0.0110980  	 0.0215804  	 0.0106595  
89	90	 20.0230134 	 40.0866746  	  27.8628181   	   270.0000000  	    14.8469165  	 0.6242895  	 1.2440646  	 0.9332098  	 0.2679156  	 0.5209487  	 0.2622254  
89	137	 0.0000000 	 0.0000000  	  0.0000000   	   99999.0000000  	    0.0000000  	 0.0000000  	 -0.0000000  	 0.0000000  	 0.0000000  	 0.0000000  	 0.0000000  
90	91	 20.0230134 	 40.0866746  	  27.8628181   	   270.0000000  	    14.8469165  	 0.6242571  	 1.2439565  	 0.9331992  	 0.2679136  	 0.5208245  	 0.2621800  
91	92	 20.0230134 	 40.0866746  	  27.8628181   	   270.0000000  	    14.8469165  	 0.6242301  	 1.2438662  	 0.9331902  	 0.2679118  	 0.5207208  	 0.2621420  
92	93	 18.0132687 	 36.0631052  	  22.4473808   	   270.0000000  	    13.3567056  	 0.5615474  	 1.1189248  	 0.7442881  	 0.2410193  	 0.4683489  	 0.2362956  
92	134	 2.0097447 	 4.0235694  	  5.4802462   	   300.0000000  	    1.8267487  	 0.0626520  	 0.1248387  	 0.1888920  	 0.0268906  	 0.0522538  	 0.0258032  
93	94	 18.0132687 	 36.0631052  	  22.4473808   	   270.0000000  	    13.3567056  	 0.5615147  	 1.1188285  	 0.7442821  	 0.2410151  	 0.4682301  	 0.2362654  
94	95	 2.8604314 	 5.7266696  	  7.7999301   	   270.0000000  	    2.8888630  	 0.0891616  	 0.1776518  	 0.2688391  	 0.0382716  	 0.0743363  	 0.0367064  
94	130	 15.1528373 	 30.3364356  	  14.8220778   	   440.0000000  	    6.8946445  	 0.4723243  	 0.9410919  	 0.4754377  	 0.2027398  	 0.3937890  	 0.1995324  
95	96	 2.8604314 	 5.7266696  	  7.7999301   	   270.0000000  	    2.8888630  	 0.0891613  	 0.1776482  	 0.2688370  	 0.0382720  	 0.0743339  	 0.0367009  
96	97	 2.8604314 	 5.7266696  	  7.7999301   	   270.0000000  	    2.8888630  	 0.0891611  	 0.1776453  	 0.2688352  	 0.0382723  	 0.0743320  	 0.0366964  
97	98	 2.3500200 	 4.7048107  	  6.4081215   	   270.0000000  	    2.3733783  	 0.0732512  	 0.1459443  	 0.2208633  	 0.0314433  	 0.0610668  	 0.0301449  
97	127	 0.5104114 	 1.0218589  	  1.3918086   	   300.0000000  	    0.4639362  	 0.0159097  	 0.0316983  	 0.0479703  	 0.0068293  	 0.0132634  	 0.0065473  
98	99	 2.3500200 	 4.7048107  	  6.4081215   	   270.0000000  	    2.3733783  	 0.0732510  	 0.1459425  	 0.2208623  	 0.0314435  	 0.0610656  	 0.0301422  
99	100	 2.3500200 	 4.7048107  	  6.4081215   	   270.0000000  	    2.3733783  	 0.0732508  	 0.1459402  	 0.2208608  	 0.0314438  	 0.0610640  	 0.0301385  
100	101	 2.3500200 	 4.7048107  	  6.4081215   	   270.0000000  	    2.3733783  	 0.0732507  	 0.1459381  	 0.2208596  	 0.0314440  	 0.0610626  	 0.0301353  
101	102	 2.3500200 	 4.7048107  	  6.4081215   	   270.0000000  	    2.3733783  	 0.0732505  	 0.1459359  	 0.2208582  	 0.0314443  	 0.0610611  	 0.0301318  
101	126	 0.0000000 	 0.0000000  	  0.0000000   	   99999.0000000  	    0.0000000  	 0.0000000  	 -0.0000000  	 0.0000000  	 0.0000000  	 0.0000000  	 0.0000000  
102	103	 2.3500200 	 4.7048107  	  6.4081215   	   270.0000000  	    2.3733783  	 0.0732504  	 0.1459338  	 0.2208570  	 0.0314445  	 0.0610598  	 0.0301287  
103	104	 2.3500200 	 4.7048107  	  6.4081215   	   270.0000000  	    2.3733783  	 0.0732502  	 0.1459317  	 0.2208557  	 0.0314448  	 0.0610583  	 0.0301254  
104	105	 2.3500200 	 4.7048107  	  6.4081215   	   270.0000000  	    2.3733783  	 0.0732500  	 0.1459294  	 0.2208543  	 0.0314450  	 0.0610568  	 0.0301218  
105	106	 2.3500200 	 4.7048107  	  6.4081215   	   270.0000000  	    2.3733783  	 0.0732499  	 0.1459271  	 0.2208530  	 0.0314453  	 0.0610552  	 0.0301183  
106	107	 2.3500200 	 4.7048107  	  6.4081215   	   270.0000000  	    2.3733783  	 0.0732497  	 0.1459253  	 0.2208519  	 0.0314455  	 0.0610541  	 0.0301156  
107	108	 2.3500200 	 4.7048107  	  6.4081215   	   270.0000000  	    2.3733783  	 0.0732496  	 0.1459231  	 0.2208506  	 0.0314458  	 0.0610526  	 0.0301122  
108	109	 2.3500200 	 4.7048107  	  6.4081215   	   270.0000000  	    2.3733783  	 0.0732494  	 0.1459210  	 0.2208493  	 0.0314460  	 0.0610511  	 0.0301089  
109	110	 2.3500200 	 4.7048107  	  6.4081215   	   630.0000000  	    1.0171621  	 0.0732493  	 0.1459190  	 0.2208481  	 0.0314462  	 0.0610498  	 0.0301057  
110	111	 2.3500200 	 4.7048107  	  6.4081215   	   270.0000000  	    2.3733783  	 0.0732493  	 0.1459190  	 0.2208481  	 0.0314462  	 0.0610498  	 0.0301057  
111	112	 2.3500200 	 4.7048107  	  6.4081215   	   270.0000000  	    2.3733783  	 0.0732491  	 0.1459166  	 0.2208466  	 0.0314465  	 0.0610482  	 0.0301020  
112	113	 2.3500200 	 4.7048107  	  6.4081215   	   270.0000000  	    2.3733783  	 0.0732475  	 0.1458961  	 0.2208343  	 0.0314488  	 0.0610344  	 0.0300703  
113	114	 0.0000000 	 0.0000000  	  0.0000000   	   270.0000000  	    0.0000000  	 0.0000000  	 -0.0000000  	 0.0000000  	 0.0000000  	 0.0000000  	 0.0000000  
113	121	 2.3500200 	 4.7048107  	  6.4081215   	   250.0000000  	    2.5632486  	 0.0732471  	 0.1458908  	 0.2208308  	 0.0314494  	 0.0610311  	 0.0300627  
114	115	 0.0000000 	 0.0000000  	  0.0000000   	   270.0000000  	    0.0000000  	 0.0000000  	 -0.0000000  	 0.0000000  	 0.0000000  	 0.0000000  	 0.0000000  
115	116	 0.0000000 	 0.0000000  	  0.0000000   	   270.0000000  	    0.0000000  	 0.0000000  	 -0.0000000  	 0.0000000  	 0.0000000  	 0.0000000  	 0.0000000  
116	117	 0.0000000 	 0.0000000  	  0.0000000   	   270.0000000  	    0.0000000  	 0.0000000  	 -0.0000000  	 0.0000000  	 0.0000000  	 0.0000000  	 0.0000000  
117	118	 0.0000000 	 0.0000000  	  0.0000000   	   630.0000000  	    0.0000000  	 0.0000000  	 -0.0000000  	 0.0000000  	 0.0000000  	 0.0000000  	 0.0000000  
118	119	 0.0000000 	 0.0000000  	  0.0000000   	   270.0000000  	    0.0000000  	 0.0000000  	 -0.0000000  	 0.0000000  	 0.0000000  	 0.0000000  	 0.0000000  
119	120	 0.0000000 	 0.0000000  	  0.0000000   	   270.0000000  	    0.0000000  	 0.0000000  	 -0.0000000  	 0.0000000  	 0.0000000  	 0.0000000  	 0.0000000  
121	122	 2.3500200 	 4.7048107  	  6.4081215   	   250.0000000  	    2.5632486  	 0.0732459  	 0.1458839  	 0.2208219  	 0.0314498  	 0.0610289  	 0.0300577  
122	123	 2.3500200 	 4.7048107  	  6.4081215   	   300.0000000  	    2.1360405  	 0.0732457  	 0.1458825  	 0.2208201  	 0.0314498  	 0.0610285  	 0.0300567  
123	124	 2.3500200 	 4.7048107  	  6.4081215   	   250.0000000  	    2.5632486  	 0.0732457  	 0.1458825  	 0.2208201  	 0.0314498  	 0.0610285  	 0.0300567  
124	125	 2.3500200 	 4.7048107  	  6.4081215   	   99999.0000000  	    0.0064082  	 0.0732455  	 0.1458814  	 0.2208187  	 0.0314499  	 0.0610281  	 0.0300559  
127	128	 0.5104114 	 1.0218589  	  1.3918086   	   250.0000000  	    0.5567234  	 0.0159097  	 0.0316983  	 0.0479703  	 0.0068293  	 0.0132634  	 0.0065473  
128	129	 0.5104114 	 1.0218589  	  1.3918086   	   99999.0000000  	    0.0013918  	 0.0159097  	 0.0316982  	 0.0479702  	 0.0068293  	 0.0132634  	 0.0065473  
130	131	 15.1528373 	 30.3364356  	  14.8220778   	   630.0000000  	    4.8153072  	 0.4722922  	 0.9410529  	 0.4754545  	 0.2027442  	 0.3936855  	 0.1995332  
131	132	 15.1528373 	 30.3364356  	  14.8220778   	   440.0000000  	    6.8946445  	 0.4722922  	 0.9410529  	 0.4754545  	 0.2027442  	 0.3936855  	 0.1995332  
132	133	 15.1528373 	 30.3364356  	  14.8220778   	   99999.0000000  	    0.0303367  	 0.4722717  	 0.9410281  	 0.4754652  	 0.2027470  	 0.3936194  	 0.1995338  
134	135	 2.0097447 	 4.0235694  	  5.4802462   	   250.0000000  	    2.1920985  	 0.0626520  	 0.1248387  	 0.1888920  	 0.0268906  	 0.0522538  	 0.0258032  
135	136	 2.0097447 	 4.0235694  	  5.4802462   	   99999.0000000  	    0.0054803  	 0.0626520  	 0.1248387  	 0.1888920  	 0.0268906  	 0.0522538  	 0.0258032  
138	139	 0.8294185 	 1.6605207  	  2.2616889   	   250.0000000  	    0.9046756  	 0.0258604  	 0.0515341  	 0.0779595  	 0.0110980  	 0.0215804  	 0.0106595  
139	140	 0.8294185 	 1.6605207  	  2.2616889   	   99999.0000000  	    0.0022617  	 0.0258603  	 0.0515339  	 0.0779593  	 0.0110980  	 0.0215803  	 0.0106593  
141	142	 0.1746341 	 0.2605006  	  0.3183458   	   250.0000000  	    0.1273383  	 0.0054460  	 0.0080874  	 0.0108402  	 0.0023367  	 0.0033887  	 0.0022753  
142	143	 0.1746341 	 0.2605006  	  0.3183458   	   250.0000000  	    0.1273383  	 0.0054460  	 0.0080874  	 0.0108402  	 0.0023367  	 0.0033887  	 0.0022753  
143	144	 0.1311342 	 0.1923138  	  0.2332542   	   250.0000000  	    0.0933017  	 0.0040894  	 0.0059705  	 0.0079337  	 0.0017547  	 0.0025017  	 0.0017096  
143	153	 0.0434998 	 0.0681867  	  0.0851041   	   99999.0000000  	    0.0000851  	 0.0013565  	 0.0021169  	 0.0029065  	 0.0005821  	 0.0008870  	 0.0005657  
